,p_grid,simulated_readings,t_grid,correction_factor
568,1020,0.118844039,289,0.961367293
569,1020,0.119676931,291,0.968104816
570,1020,0.120495787,293,0.974728808
571,1020,0.121300652,295,0.981239619
572,1020,0.122091532,297,0.987637298
573,1020,0.122868436,299,0.993921919
574,1020,0.123631381,301,1.000093629
575,1020,0.124380421,303,1.006152852
576,1020,0.125115539,305,1.012099451
577,1020,0.125836884,307,1.017934643
578,1020,0.126544397,309,1.023657937
579,1020,0.127238032,311,1.029268971
580,1022.5,0.11130661,273,0.900394624
581,1022.5,0.112249679,275,0.90802341
582,1022.5,0.113178909,277,0.915540252
583,1022.5,0.114094256,279,0.922944784
584,1022.5,0.1149957,281,0.930236854
585,1022.5,0.115883241,283,0.937416453
586,1022.5,0.116756859,285,0.944483429
587,1022.5,0.117616523,287,0.951437525
588,1022.5,0.118462225,289,0.958278674
589,1022.5,0.119293964,291,0.965006874
590,1022.5,0.120111755,293,0.971622249
591,1022.5,0.120915603,295,0.978124835
592,1022.5,0.12170547,297,0.984514317
593,1022.5,0.122481478,299,0.990791691
594,1022.5,0.123243553,301,0.996956362
595,1022.5,0.123991802,303,1.003009183
596,1022.5,0.12472616,305,1.008949638
597,1022.5,0.125446755,307,1.014778763
598,1022.5,0.126153569,309,1.020496411
599,1022.5,0.12684658,311,1.026102393
600,1025,0.110937159,273,0.89740602
601,1025,0.111878638,275,0.90502194
602,1025,0.112806342,277,0.912526438
603,1025,0.113720239,279,0.919919242
604,1025,0.114620327,281,0.927200343
605,1025,0.115506542,283,0.934369215
606,1025,0.116378871,285,0.94142576
607,1025,0.117237304,287,0.948369904
608,1025,0.118081797,289,0.955201273
609,1025,0.118912436,291,0.96192058
610,1025,0.119729148,293,0.968527217
611,1025,0.120531942,295,0.975021278
612,1025,0.121320886,297,0.981403297
613,1025,0.122095938,299,0.987672939
614,1025,0.122857154,301,0.993830659
615,1025,0.123604536,303,0.999876472
616,1025,0.124338164,305,1.005811017
617,1025,0.125058012,307,1.011634101
618,1025,0.125764145,309,1.017346233
619,1025,0.126456518,311,1.022947061
620,1027.5,0.110569078,273,0.894428492
621,1027.5,0.111508984,275,0.902031693
622,1027.5,0.112435246,277,0.909524522
623,1027.5,0.11334768,279,0.916905495
624,1027.5,0.114246329,281,0.924174952
625,1027.5,0.115131198,283,0.93133294
626,1027.5,0.116002284,285,0.938379432
